externalcode;identificationstate;state
11593942;FULL;ACTIVE
11594147;;ACTIVE
11594383;FULL;ACTIVE
11594864;;ACTIVE
11595113;;ACTIVE
11595489;FULL;ACTIVE
11596318;FULL;ACTIVE
11597599;FULL;ACTIVE
11598848;;ACTIVE
11601005;FULL;ACTIVE
11603733;;ACTIVE
11607700;FULL;ACTIVE
11607786;FULL;ACTIVE
11612391;;ACTIVE
11613381;;ACTIVE
11616436;FULL;ACTIVE
11616733;;ACTIVE
11617709;;ACTIVE
11620785;FULL;ACTIVE
11621447;NOTIDENTIFIED;ACTIVE
11623281;FULL;ACTIVE
11624356;LIMITED;ACTIVE
11625186;;ACTIVE
11626671;FULL;ACTIVE
11631897;FULL;ACTIVE
11632771;;ACTIVE
11633075;;ACTIVE
11633112;FULL;ACTIVE
11633259;NOTIDENTIFIED;ACTIVE
11634799;;ACTIVE
11635024;FULL;ACTIVE
11635031;FULL;ACTIVE
11635147;FULL;ACTIVE
11635345;FULL;ACTIVE
11635468;NOTIDENTIFIED;ACTIVE
11635949;FULL;ACTIVE
11636489;;ACTIVE
11638759;;ACTIVE
11639114;;ACTIVE
11639220;FULL;ACTIVE
11639336;FULL;ACTIVE
11639367;;ACTIVE
11639381;FULL;ACTIVE
11639480;FULL;ACTIVE
11640585;FULL;ACTIVE
11640776;;ACTIVE
11641018;FULL;ACTIVE
11641339;;ACTIVE
11641698;FULL;ACTIVE
11641841;FULL;ACTIVE
11641858;NOTIDENTIFIED;ACTIVE
11642824;FULL;ACTIVE
11643593;FULL;ACTIVE
11646709;FULL;ACTIVE
11646761;FULL;ACTIVE
11647591;LIMITED;ACTIVE
11648093;FULL;ACTIVE
11648758;;ACTIVE
11649212;FULL;ACTIVE
11649717;;ACTIVE
11650294;FULL;ACTIVE
11651017;FULL;ACTIVE
11651741;FULL;ACTIVE
11653240;;ACTIVE
11653332;FULL;ACTIVE
11653646;;ACTIVE
11653981;;ACTIVE
11655206;FULL;ACTIVE
11657163;;ACTIVE
11658054;;ACTIVE
11658238;FULL;ACTIVE
11658733;;ACTIVE
11658856;FULL;REMOVED
11659358;FULL;ACTIVE
11659518;FULL;ACTIVE
11659525;;ACTIVE
11659983;FULL;ACTIVE
11661214;;ACTIVE
11661597;FULL;ACTIVE
11663898;;ACTIVE
11664161;FULL;ACTIVE
11665267;NOTIDENTIFIED;ACTIVE
11665960;FULL;ACTIVE
11666073;FULL;ACTIVE
11667940;;ACTIVE
11668282;FULL;ACTIVE
11668558;FULL;ACTIVE
11670155;;ACTIVE
11671398;;ACTIVE
11671527;FULL;ACTIVE
11671688;;ACTIVE
11672135;;ACTIVE
11672494;FULL;ACTIVE
11675037;FULL;ACTIVE
11675938;;ACTIVE
11676591;LIMITED;ACTIVE
11676751;;ACTIVE
11677826;FULL;ACTIVE
11677987;FULL;ACTIVE
11680239;FULL;ACTIVE
11681021;;ACTIVE
11681557;;ACTIVE
11682721;FULL;ACTIVE
11682806;;ACTIVE
11683216;LIMITED;ACTIVE
11688402;FULL;ACTIVE
11689645;FULL;ACTIVE
11691327;;ACTIVE
11691594;;ACTIVE
11692461;FULL;ACTIVE
11692836;NOTIDENTIFIED;ACTIVE
11693208;FULL;ACTIVE
11693567;FULL;ACTIVE
11694137;;ACTIVE
11694915;FULL;ACTIVE
11695639;FULL;ACTIVE
11695974;;ACTIVE
11696827;;ACTIVE
11696889;FULL;ACTIVE
11697213;;ACTIVE
11697770;NOTIDENTIFIED;ACTIVE
11698418;NOTIDENTIFIED;ACTIVE
11698579;;ACTIVE
11698982;FULL;ACTIVE
11699439;FULL;ACTIVE
11705178;FULL;ACTIVE
11705277;;ACTIVE
11705314;FULL;ACTIVE
11705635;;ACTIVE
11705734;FULL;ACTIVE
11705833;;ACTIVE
11706441;FULL;ACTIVE
11706588;;ACTIVE
11707776;FULL;ACTIVE
11708353;;ACTIVE
11708407;;ACTIVE
11708841;FULL;ACTIVE
11709459;;ACTIVE
11709848;FULL;ACTIVE
11710516;FULL;ACTIVE
11711780;FULL;ACTIVE
11711803;FULL;ACTIVE
11712169;;ACTIVE
11712848;;ACTIVE
11713319;FULL;ACTIVE
11714118;FULL;ACTIVE
11715160;;ACTIVE
11715276;;ACTIVE
11717416;FULL;ACTIVE
11717782;FULL;ACTIVE
11717836;;ACTIVE
11720287;FULL;ACTIVE
11723059;;ACTIVE
11725541;;ACTIVE
11727750;;ACTIVE
11729037;FULL;ACTIVE
11729884;FULL;ACTIVE
11730071;;ACTIVE
11730316;;ACTIVE
11730378;;ACTIVE
11731481;;ACTIVE
11734123;;ACTIVE
11736486;;ACTIVE
11737230;FULL;ACTIVE
11737391;;ACTIVE
11737643;;ACTIVE
11738381;FULL;ACTIVE
11740988;;ACTIVE
11741565;FULL;ACTIVE
11742043;FULL;ACTIVE
11743309;;ACTIVE
11743422;;ACTIVE
11743606;;ACTIVE
11746287;FULL;ACTIVE
11746959;;ACTIVE
11749448;;ACTIVE
11750338;FULL;ACTIVE
11751113;FULL;ACTIVE
11752233;;ACTIVE
11752974;FULL;ACTIVE
11753322;FULL;ACTIVE
11754374;FULL;ACTIVE
11754411;;ACTIVE
11754466;;ACTIVE
11755227;;ACTIVE
11755579;;ACTIVE
11755616;FULL;ACTIVE
11758167;FULL;ACTIVE
11758334;;ACTIVE
11758679;;ACTIVE
11759140;;ACTIVE
11759430;;ACTIVE
11760139;FULL;ACTIVE
11761549;;ACTIVE
11762652;;ACTIVE
11762676;FULL;ACTIVE
11762782;;ACTIVE
11763291;FULL;ACTIVE
11764205;FULL;ACTIVE
11766230;;ACTIVE
11766551;FULL;ACTIVE
11769095;FULL;ACTIVE
11770817;;ACTIVE
11770978;;ACTIVE
11772293;FULL;ACTIVE
11772828;NOTIDENTIFIED;ACTIVE
11773078;;ACTIVE
11773153;FULL;ACTIVE
11773290;FULL;ACTIVE
11773337;;ACTIVE
11773559;FULL;ACTIVE
11774877;NOTIDENTIFIED;ACTIVE
11775263;FULL;ACTIVE
11775423;FULL;ACTIVE
11775638;;ACTIVE
11775959;;ACTIVE
11776345;;ACTIVE
11776727;FULL;ACTIVE
11778073;FULL;ACTIVE
11778356;;ACTIVE
11779230;;ACTIVE
11779599;FULL;ACTIVE
11780120;FULL;ACTIVE
11780472;FULL;ACTIVE
11782049;;ACTIVE
11782285;NOTIDENTIFIED;ACTIVE
11782674;;ACTIVE
11783084;FULL;ACTIVE
11783169;;ACTIVE
11784616;;ACTIVE
11785248;;ACTIVE
11785316;;ACTIVE
11785422;LIMITED;ACTIVE
11785798;;ACTIVE
11786368;;ACTIVE
11786641;;ACTIVE
11787150;FULL;ACTIVE
11788621;FULL;ACTIVE
11789093;FULL;ACTIVE
11789314;FULL;ACTIVE
11789369;;ACTIVE
11789567;FULL;ACTIVE
11789628;FULL;ACTIVE
11790037;;ACTIVE
11790242;FULL;ACTIVE
11790785;FULL;ACTIVE
11791706;;ACTIVE
11794097;;ACTIVE
11795155;;ACTIVE
11795919;;ACTIVE
11796923;FULL;ACTIVE
11798002;;ACTIVE
11798194;;ACTIVE
11798668;FULL;ACTIVE
11798972;;ACTIVE
11799290;;ACTIVE
11800798;FULL;ACTIVE
11800811;LIMITED;ACTIVE
11800835;LIMITED;ACTIVE
11800842;FULL;ACTIVE
11800880;;ACTIVE
11800897;;ACTIVE
11800934;FULL;ACTIVE
11801047;;ACTIVE
11801139;;ACTIVE
11801221;LIMITED;ACTIVE
11801252;FULL;ACTIVE
11801368;FULL;ACTIVE
11801474;FULL;ACTIVE
11801559;;ACTIVE
11801610;;ACTIVE
11801917;;ACTIVE
11802488;FULL;ACTIVE
11802686;;ACTIVE
11802907;FULL;ACTIVE
11803027;FULL;ACTIVE
11803263;FULL;ACTIVE
11803287;;ACTIVE
11803386;;ACTIVE
11803416;FULL;ACTIVE
11803423;FULL;ACTIVE
11803485;FULL;ACTIVE
11803638;FULL;ACTIVE
11803683;FULL;ACTIVE
11803690;;ACTIVE
11803775;FULL;ACTIVE
11803812;NOTIDENTIFIED;ACTIVE
11803836;;ACTIVE
11804017;FULL;ACTIVE
11804031;;ACTIVE
11804116;;ACTIVE
11804192;FULL;ACTIVE
11804482;FULL;ACTIVE
11804888;;ACTIVE
11805083;NOTIDENTIFIED;ACTIVE
11805151;FULL;ACTIVE
11805199;;ACTIVE
11805328;;ACTIVE
11805434;FULL;ACTIVE
11805472;FULL;ACTIVE
11805861;;ACTIVE
11805946;;ACTIVE
11806196;;ACTIVE
11806226;FULL;ACTIVE
11806424;;ACTIVE
11806547;FULL;ACTIVE
11806622;LIMITED;ACTIVE
11806684;FULL;ACTIVE
11806943;;ACTIVE
11807117;NOTIDENTIFIED;ACTIVE
11807377;;ACTIVE
11807940;;ACTIVE
11808077;FULL;ACTIVE
11808152;NOTIDENTIFIED;ACTIVE
11808213;FULL;ACTIVE
11808343;;ACTIVE
11808664;FULL;ACTIVE
11808688;FULL;ACTIVE
11808800;FULL;ACTIVE
11809104;;ACTIVE
11809227;FULL;ACTIVE
11809272;;ACTIVE
11809517;;ACTIVE
11809531;;ACTIVE
11809579;LIMITED;ACTIVE
11809630;FULL;ACTIVE
11809685;FULL;ACTIVE
11809715;NOTIDENTIFIED;ACTIVE
11809821;;ACTIVE
11809869;;ACTIVE
11809920;;ACTIVE
11809944;NOTIDENTIFIED;ACTIVE
11810018;;ACTIVE
11810360;;ACTIVE
11810674;;ACTIVE
11810766;FULL;ACTIVE
11811114;;ACTIVE
11811152;;ACTIVE
11811299;LIMITED;ACTIVE
11811633;;ACTIVE
11811763;;ACTIVE
11812180;FULL;ACTIVE
11812258;;ACTIVE
11812685;FULL;ACTIVE
11812784;FULL;ACTIVE
11813019;FULL;ACTIVE
11813194;;ACTIVE
11813538;LIMITED;ACTIVE
11813859;FULL;ACTIVE
11813873;;ACTIVE
11814207;FULL;ACTIVE
11814214;FULL;ACTIVE
11814450;FULL;ACTIVE
11814511;;ACTIVE
11815068;FULL;ACTIVE
11815587;FULL;ACTIVE
11815655;LIMITED;ACTIVE
11815778;;ACTIVE
11815808;NOTIDENTIFIED;ACTIVE
11816201;;ACTIVE
11816300;FULL;ACTIVE
11816355;FULL;ACTIVE
11816553;;ACTIVE
11816652;;ACTIVE
11817420;FULL;ACTIVE
11817642;LIMITED;ACTIVE
11817680;FULL;ACTIVE
11817864;;ACTIVE
11818175;FULL;ACTIVE
11818182;FULL;ACTIVE
11818229;;ACTIVE
11818311;FULL;ACTIVE
11818328;NOTIDENTIFIED;ACTIVE
11818403;;ACTIVE
11818465;FULL;ACTIVE
11818700;FULL;ACTIVE
11819080;;ACTIVE
11819134;FULL;ACTIVE
11819158;;ACTIVE
11819226;NOTIDENTIFIED;ACTIVE
11819264;FULL;ACTIVE
11819332;FULL;ACTIVE
11819349;;ACTIVE
11819370;NOTIDENTIFIED;ACTIVE
11819448;FULL;ACTIVE
11819479;;ACTIVE
11819530;;ACTIVE
11819585;;ACTIVE
11819769;FULL;ACTIVE
11820086;;ACTIVE
11820109;;ACTIVE
11820246;NOTIDENTIFIED;ACTIVE
11820444;FULL;ACTIVE
11820529;FULL;ACTIVE
11820598;;ACTIVE
11820604;FULL;ACTIVE
11820628;FULL;ACTIVE
11820857;FULL;ACTIVE
11821014;FULL;ACTIVE
11821045;;ACTIVE
11821069;FULL;ACTIVE
11821335;;ACTIVE
11821656;;ACTIVE
11821786;;ACTIVE
11821823;FULL;ACTIVE
11821830;;ACTIVE
11821847;FULL;ACTIVE
11821885;;ACTIVE
11822059;;ACTIVE
11822073;;ACTIVE
11822080;;ACTIVE
11822097;FULL;ACTIVE
11822202;;ACTIVE
11822219;;ACTIVE
11822530;FULL;ACTIVE
11822646;FULL;ACTIVE
11822769;;ACTIVE
11822905;FULL;ACTIVE
11822981;;ACTIVE
11823216;FULL;ACTIVE
11823414;FULL;ACTIVE
11824268;FULL;ACTIVE
11824589;FULL;ACTIVE
11824756;;ACTIVE
11824916;;ACTIVE
11825074;FULL;ACTIVE
11825524;;ACTIVE
11825609;FULL;ACTIVE
11825760;FULL;ACTIVE
11826002;;ACTIVE
11826125;NOTIDENTIFIED;ACTIVE
11826255;FULL;ACTIVE
11826286;FULL;ACTIVE
11826347;;ACTIVE
11826484;;ACTIVE
11826750;;ACTIVE
11826941;FULL;ACTIVE
11826972;FULL;ACTIVE
11827085;FULL;ACTIVE
11827115;;ACTIVE
11827399;NOTIDENTIFIED;ACTIVE
11827412;FULL;ACTIVE
11828136;FULL;ACTIVE
11828211;;ACTIVE
11828723;;ACTIVE
11828730;;ACTIVE
11828877;;ACTIVE
11829140;NOTIDENTIFIED;ACTIVE
11829195;FULL;ACTIVE
11829393;;ACTIVE
11829607;FULL;ACTIVE
11830245;NOTIDENTIFIED;ACTIVE
11830320;FULL;ACTIVE
11830726;FULL;ACTIVE
11830771;;ACTIVE
11830948;FULL;ACTIVE
11831068;;ACTIVE
11831242;;ACTIVE
11831327;;ACTIVE
11831693;FULL;ACTIVE
11831983;FULL;ACTIVE
11832119;FULL;ACTIVE
11832201;FULL;ACTIVE
11832386;FULL;ACTIVE
11832515;FULL;ACTIVE
11832539;FULL;ACTIVE
11832980;;ACTIVE
11833291;;ACTIVE
11833482;;ACTIVE
